x,y
-0.2231,0.001156
-0.223096,0.004812
-0.22308,0.010906
-0.223038,0.019438
-0.222947,0.030408
-0.222783,0.043815
-0.222511,0.05966
-0.222095,0.077942
-0.221488,0.098659
-0.220642,0.121808
-0.219499,0.147387
-0.217998,0.17539
-0.216071,0.205809
-0.213644,0.238636
-0.210639,0.273859
-0.206972,0.311462
-0.202555,0.351427
-0.197294,0.393734
-0.191095,0.438354
-0.183857,0.485257
-0.17548,0.534408
-0.165862,0.585767
-0.154898,0.639288
-0.142488,0.69492
-0.128531,0.752609
-0.112931,0.812295
-0.095594,0.873914
-0.076794,0.936248
-0.056889,0.998116
-0.035926,1.059503
-0.013953,1.120399
0.008985,1.180797
0.032838,1.240693
0.05756,1.300087
0.083104,1.35898
0.109421,1.417375
0.136466,1.475279
0.164194,1.532701
0.19256,1.589651
0.22152,1.64614
0.251033,1.702181
0.281055,1.75779
0.311548,1.812981
0.342472,1.867772
0.373788,1.922179
0.40546,1.97622
0.437452,2.029914
0.469728,2.08328
0.502254,2.136337
0.534997,2.189105
0.567924,2.241603
0.601003,2.29385
0.634202,2.345868
0.667492,2.397674
0.70084,2.44929
0.734218,2.500735
0.767596,2.552028
0.800944,2.603189
0.834234,2.654236
0.867436,2.705189
0.900521,2.756067
0.933461,2.806887
0.966226,2.857668
0.998787,2.908427
1.031115,2.959182
1.063181,3.00995
1.094954,3.060747
1.126404,3.111589
1.157501,3.162492
1.188215,3.213472
1.218513,3.264541
1.248365,3.315715
1.277737,3.367006
1.306599,3.418428
1.334916,3.469991
1.362657,3.521707
1.389786,3.573585
1.416271,3.625636
1.442076,3.677867
1.467169,3.730285
1.491514,3.782897
1.515078,3.835708
1.537825,3.888721
1.559723,3.94194
1.580738,3.995366
1.600836,4.049
1.619986,4.10284
1.638158,4.156884
1.655319,4.21113
1.671365,4.2653
1.686014,4.318372
1.699133,4.369584
1.710819,4.418912
1.721166,4.466331
1.73027,4.511819
1.738228,4.555356
1.745133,4.596924
1.751078,4.636507
1.756152,4.674088
1.760443,4.709656
1.764034,4.743198
1.767004,4.774706
1.769428,4.80417
1.771377,4.831583
1.772917,4.856941
1.774111,4.880236
1.775013,4.901467
1.775676,4.920628
1.776147,4.937719
1.776466,4.952736
1.776671,4.965679
1.776793,4.976546
1.776858,4.985336
1.776888,4.992049
1.776898,4.996684
1.7769,4.999241
1.7769,5
1.7769,5
